( 1 , 18, K )
( 9 , 10, K )
( 15 , 10, K )
( 13 , 15, K )
( 2 , 10, K )
( 17 , 22, K )
( 15 , 23, K )
( 12 , 21, K )
( 8 , 6, K )
( 2 , 16, K )
( 15 , 9, K )
( 23 , 0, K )
( 0 , 24, K )
( 9 , 23, K )
( 4 , 14, K )
( 19 , 13, K )
( 18 , 21, K )
( 18 , 20, K )
( 7 , 24, K )
( 21 , 13, K )
( 6 , 19, K )
( 3 , 19, K )
( 8 , 1, K )
( 2 , 12, K )
( 5 , 1, K )
( 24 , 1, K )
( 7 , 6, K )
( 19 , 22, K )
( 19 , 4, K )
( 13 , 10, K )
( 4 , 0, K )
( 24 , 24, K )
( 11 , 7, K )
( 19 , 18, K )
( 19 , 0, K )
( 0 , 23, K )
( 22 , 24, K )
( 5 , 3, K )
( 7 , 10, K )
( 21 , 10, K )
( 2 , 9, K )
( 19 , 16, K )
( 8 , 9, K )
( 22 , 12, K )
( 11 , 13, K )
( 16 , 2, K )
( 4 , 8, K )
( 7 , 7, K )
( 17 , 9, K )
( 16 , 7, K )
( 23 , 5, K )
( 19 , 19, K )
( 18 , 17, K )
( 9 , 14, K )
( 19 , 2, K )
( 5 , 18, K )
( 24 , 6, K )
( 15 , 1, K )
( 1 , 19, K )
( 7 , 19, K )
( 6 , 2, K )
( 10 , 16, K )
( 23 , 21, K )
( 7 , 11, K )
( 16 , 8, K )
( 0 , 17, K )
( 11 , 20, K )
( 21 , 9, K )
( 5 , 11, K )
( 11 , 19, K )
( 21 , 20, K )
( 11 , 9, K )
( 10 , 20, K )
( 18 , 22, K )
( 0 , 12, K )
( 9 , 17, K )
( 0 , 1, K )
( 22 , 2, K )
( 6 , 5, K )
( 22 , 17, K )
( 5 , 17, K )
( 0 , 16, K )
( 0 , 0, K )
( 2 , 19, K )
( 0 , 3, K )
( 14 , 18, K )
( 12 , 4, K )
( 18 , 24, K )
( 8 , 7, K )
( 0 , 11, K )
( 10 , 11, K )
( 13 , 19, K )
( 2 , 21, K )
( 12 , 24, K )
( 4 , 6, K )
( 16 , 21, K )
( 16 , 4, K )
( 20 , 21, K )
( 8 , 21, K )
( 2 , 22, K )
( 24 , 15, K )
( 8 , 2, K )
( 6 , 3, K )
( 22 , 15, K )
( 22 , 7, K )
( 21 , 21, K )
( 20 , 12, K )
( 23 , 2, K )
( 7 , 13, K )
( 0 , 8, K )
( 13 , 11, K )
( 21 , 8, K )
( 16 , 22, K )
( 2 , 17, K )
( 14 , 2, K )
( 1 , 21, K )
( 2 , 7, K )
( 10 , 2, K )
( 18 , 14, K )
( 0 , 6, K )
( 0 , 20, K )
( 8 , 0, K )
( 9 , 16, K )
( 3 , 15, K )
( 0 , 13, K )
( 7 , 21, K )
( 0 , 18, K )
( 1 , 0, K )
( 13 , 16, K )
( 15 , 16, K )
( 22 , 19, K )
( 1 , 9, K )
( 13 , 6, K )
( 1 , 6, K )
( 19 , 21, K )
( 17 , 24, K )
( 20 , 10, K )
( 5 , 4, K )
( 5 , 8, K )
( 11 , 10, K )
( 1 , 8, K )
( 0 , 19, K )
( 3 , 22, K )
( 20 , 9, K )
( 19 , 8, K )
( 6 , 24, K )
( 2 , 2, K )
( 0 , 10, K )
( 14 , 6, K )
( 11 , 17, K )
( 22 , 8, K )
( 8 , 23, K )
( 22 , 3, K )
( 18 , 9, K )
( 24 , 11, K )
( 14 , 5, K )
( 10 , 18, K )
( 14 , 19, K )
( 14 , 0, K )
( 21 , 19, K )
( 2 , 14, K )
( 20 , 4, K )
( 4 , 10, K )
( 4 , 21, K )
( 10 , 3, K )
( 9 , 8, K )
( 23 , 22, K )
( 16 , 16, K )
( 15 , 2, K )
( 21 , 7, K )
( 22 , 9, K )
( 19 , 15, K )
( 20 , 13, K )
( 18 , 4, K )
( 12 , 3, K )
( 15 , 5, K )
( 11 , 5, K )
( 23 , 9, K )
( 13 , 12, K )
( 22 , 23, K )
( 12 , 20, K )
( 14 , 21, K )
( 22 , 18, K )
( 9 , 11, K )
( 18 , 12, K )
( 7 , 18, K )
( 14 , 24, K )
